t,s_rel,lambda_pairwise,lambda_with_hyperedge,lambda_gain
3.030060120240481,0.880060120240481,0.6171276420419014,0.8901797654395815,0.2730521233976801
3.0420841683366735,0.8920841683366736,0.6146615382679558,0.8846123758705047,0.2699508376025489
3.0541082164328657,0.9041082164328658,0.612223444137401,0.8791082198920397,0.2668847757546386
3.0661322645290583,0.9161322645290584,0.6098130415208333,0.8736665793063785,0.26385353778554516
3.0781563126252505,0.9281563126252506,0.607430015902116,0.868286744072899,0.260856728170783
3.0901803607214426,0.9401803607214427,0.6050740563373405,0.8629680122155154,0.25789395587817504
3.1022044088176353,0.9522044088176354,0.6027448554142528,0.8577096897310829,0.25496483431683004
3.1142284569138274,0.9642284569138275,0.6004421092121426,0.8525110904988422,0.2520689812866996
3.12625250501002,0.9762525050100201,0.5981655172621859,0.8473715361908924,0.24920601892870653
3.1382765531062122,0.9882765531062123,0.5959147825082395,0.8422903561836815,0.24637557367544202
3.150300601202405,1.000300601202405,0.59368961126808,0.8372668874705003,0.24357727620242028
3.162324649298597,1.0123246492985971,0.5914897131950835,0.8323004745749726,0.24081076137988913
3.1743486973947896,1.0243486973947897,0.5893148012403402,0.8273904694655261,0.2380756682251859
3.186372745490982,1.036372745490982,0.5871645916151997,0.822536231470836,0.23537163985563625
3.1983967935871744,1.0483967935871745,0.5850388037542411,0.8177371271962273,0.23269832344198618
3.2104208416833666,1.0604208416833667,0.5829371602786645,0.8129925304410295,0.23005537016236494
3.2224448897795592,1.0724448897795593,0.5808593869600972,0.8083018221168659,0.22744243515676862
3.2344689378757514,1.0844689378757515,0.5788052126848121,0.8036643901668752,0.2248591774820631
3.246492985971944,1.0964929859719441,0.576774369418352,0.7990796294858475,0.22230526006749549
3.258517034068136,1.1085170340681363,0.5747665921705555,0.7945469418412688,0.21978034967071336
3.270541082164329,1.120541082164329,0.5727816189609802,0.7900657357952616,0.2172841168342814
3.282565130260521,1.132565130260521,0.5708191907847195,0.7856354266274134,0.21481623584269383
3.2945891783567136,1.1445891783567137,0.5688790515786057,0.7812554362584788,0.2123763846798731
3.306613226452906,1.1566132264529059,0.5669609481877995,0.7769251931749528,0.20996424498715327
3.318637274549098,1.168637274549098,0.5650646303327564,0.7726441323544954,0.2075795020217389
3.3306613226452906,1.1806613226452907,0.5631898505765704,0.7684116951922073,0.2052218446156369
3.3426853707414828,1.1926853707414828,0.5613363642926876,0.7642273294277422,0.20289096513505456
3.3547094188376754,1.2047094188376755,0.5595039296329861,0.7600904890732445,0.20058655944025838
3.3667334669338675,1.2167334669338676,0.5576923074962195,0.7560006343421087,0.19830832684588928
3.37875751503006,1.2287575150300603,0.5559012614968181,0.751957231578546,0.19605597008172795
3.3907815631262523,1.2407815631262524,0.5541305579340446,0.7479597531879513,0.19382919525390666
3.402805611222445,1.252805611222445,0.5523799657615007,0.7440076775680615,0.19162771180656074
3.414829659318637,1.2648296593186372,0.5506492565569785,0.740100489040895,0.18945123248391652
3.4268537074148298,1.2768537074148298,0.548938204492656,0.7362376777854647,0.18729947329280866
3.438877755511022,1.288877755511022,0.5472465863056307,0.7324187397712556,0.18517215346562485
3.4509018036072145,1.3009018036072146,0.5455741812687868,0.7286431766924564,0.18306899542366956
