time,node
13.747400,0
13.755600,0
13.766700,3
13.772400,0
13.776100,6
13.778700,0
13.779100,3
13.791500,0
13.798400,0
13.798700,1
13.804500,2
13.808600,3
13.810900,1
13.815300,3
13.816400,0
13.821700,2
13.823100,3
13.828300,1
13.835800,0
13.861100,3
13.884700,1
13.901900,5
13.907600,3
13.911000,5
13.917400,5
13.923500,5
13.937300,5
13.941800,0
13.951000,0
13.959600,0
13.998700,1
14.004600,0
14.029100,0
14.031400,4
14.044100,4
14.056400,6
14.062100,6
14.086000,2
14.089400,2
14.128900,0
14.135100,0
14.153000,4
14.153900,1
14.162200,0
14.162500,4
14.168500,0
14.171900,4
14.184400,2
14.186700,0
14.189300,2
14.200500,0
14.213300,6
14.214000,1
14.217700,6
14.218400,3
14.225700,3
14.280000,3
14.289200,4
14.292900,2
14.302000,2
14.308000,0
14.312600,3
14.315300,0
14.341600,3
14.348900,3
14.355000,2
14.355000,6
14.360000,2
14.369300,2
14.389300,0
14.405000,6
14.417500,4
14.428900,4
14.432600,0
14.434300,2
14.439100,0
14.440200,2
14.454200,0
14.473300,0
14.529100,6
14.529200,4
14.539700,4
14.546700,4
14.563900,0
14.574300,2
14.579900,2
14.594200,4
14.612000,0
14.621300,5
14.629000,5
14.634200,5
14.640200,5
14.646700,5
14.656400,5
14.662500,3
14.678700,2
14.684700,2
14.686600,3
14.687100,0
14.688800,6
14.693400,0
14.694100,6
14.711900,5
14.714200,0
14.730700,3
14.785100,0
14.789100,3
14.792900,6
14.799400,4
14.805700,4
14.819700,4
14.837000,0
14.843700,4
14.876500,4
14.889300,4
14.889600,0
14.899600,4
14.909400,0
14.925500,0
14.948700,1
14.971600,2
15.005300,2
15.010900,2
15.032300,0
15.035600,5
15.049100,4
15.066000,4
15.069700,2
15.075600,2
15.078500,4
15.080100,0
15.089300,4
15.096600,0
15.150600,6
15.159600,6
15.162000,4
15.163600,0
15.167500,3
15.174500,0
15.186000,3
15.191200,0
15.193600,3
15.210800,4
15.217500,4
15.223200,0
15.229400,3
15.231700,6
15.244700,2
15.250800,2
15.257600,2
15.258300,3
15.273800,6
15.282800,3
15.290200,3
15.292600,0
15.308300,0
15.315000,0
15.321000,0
15.326700,6
15.330600,0
15.337900,0
15.347600,0
15.378000,0
15.386700,3
15.387100,0
15.405300,2
15.411100,2
15.430200,6
15.437500,6
15.451200,4
15.463600,4
15.464800,0
15.474400,4
15.474600,0
15.551900,2
15.553000,1
